"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.451719999313354,0.00899219512939453,0.016991138458252,0.00499606132507324,0.00899600982666016,0.0219860076904297,0.0269811153411865,0.0055539608001709,0.0159938335418701,0.0209839344024658
"2",0.0869650840759277,0.0219860076904297,0.0609619617462158,0.0179870128631592,0.0229828357696533,0.0559420585632324,0.0689561367034912,0.0249831676483154,0.0559577941894531,0.047680139541626
"3",0.162879943847656,0.0499699115753174,0.213860988616943,0.0479700565338135,0.059283971786499,0.157940864562988,0.168894052505493,0.0509700775146484,0.138907909393311,0.114938974380493
"4",0.583044052124023,0.109930992126465,0.365770816802979,0.08194899559021,0.126921892166138,0.285820960998535,0.275828123092651,0.115925073623657,0.291854858398438,0.236846208572388
"5",0.774540901184082,0.166897058486938,0.839475870132446,0.130918025970459,0.219864130020142,0.510191202163696,0.576639890670776,0.180889129638672,0.492716073989868,0.482699871063232
"6",0.703659057617188,0.273828029632568,0.96941614151001,0.217865943908691,0.329983949661255,0.80703592300415,0.657589197158813,0.262834072113037,0.83397102355957,0.763369798660278
"7",2.24659705162048,0.386765003204346,1.70076107978821,0.385760068893433,0.449718952178955,1.09183692932129,0.76652193069458,0.403353929519653,1.18535304069519,1.08934497833252
"8",1.65324187278748,0.568647146224976,1.52257895469666,0.735543012619019,0.603320837020874,1.62940907478333,1.26221704483032,0.595635890960693,1.73592090606689,1.53578996658325
"9",2.7616138458252,0.854490995407104,2.69236588478088,0.789510011672974,0.868478059768677,2.13933992385864,0.980391979217529,0.803508996963501,2.36035203933716,2.47011399269104
"10",3.14491200447083,1.00989508628845,2.62794613838196,1.48407888412476,1.22190189361572,2.85185790061951,1.23024010658264,1.08032608032227,2.84413194656372,3.27083492279053
"11",3.94096493721008,1.36115407943726,5.16970896720886,1.97477388381958,2.23729991912842,4.17730784416199,1.26821088790894,1.325688123703,3.33063101768494,4.35812711715698
"12",4.16737294197083,1.70942115783691,5.50907492637634,3.89258408546448,1.79102611541748,4.75582098960876,1.63165593147278,1.87646317481995,4.4782030582428,5.55005884170532
"13",5.14256405830383,2.02426481246948,7.98964309692383,2.36153197288513,4.09408092498779,6.26781606674194,1.97315692901611,2.67374706268311,5.41172790527344,5.35918092727661
"14",5.35127592086792,2.51207709312439,9.58608508110046,3.55279397964478,7.24313902854919,7.37783408164978,2.52347493171692,2.92915296554565,6.56497120857239,8.22640299797058
"15",6.73551106452942,3.20185899734497,9.97697401046753,4.11157393455505,9.14232087135315,10.2928478717804,2.97328495979309,3.46892213821411,8.25454497337341,9.49613285064697
"16",8.32883501052856,3.56357884407043,14.7550270557404,3.99482202529907,12.2131109237671,10.293035030365,3.44050788879395,4.27685809135437,10.9300448894501,11.5705239772797
"17",12.5247929096222,4.42474508285522,13.6816849708557,5.20747184753418,13.075514793396,12.8044350147247,4.22735786437988,4.36097192764282,12.5659029483795,13.0589189529419
"18",15.5117089748383,5.22723698616028,17.0833978652954,19.6255309581757,17.3421900272369,13.4129190444946,4.95827317237854,9.3790431022644,15.2002608776093,16.1322250366211
"19",17.0423879623413,5.96605491638184,22.4989721775055,19.5836229324341,16.1109092235565,17.3710939884186,5.57059407234192,16.586590051651,17.5911982059479,18.145112991333
"20",20.1968989372253,6.93060111999512,21.0360009670258,23.2774031162262,20.5844979286194,21.4096639156342,6.72335600852966,17.9674000740051,19.4808411598206,20.831817150116
"21",19.8677351474762,8.10777902603149,17.9143178462982,25.1872689723969,22.0590879917145,21.171245098114,8.49371290206909,21.9131641387939,22.652941942215,24.1728410720825
"22",25.2518270015717,9.45533514022827,20.5512399673462,28.595691204071,27.7812509536743,27.1771039962769,9.17079615592957,20.6147751808167,25.6044828891754,26.8593218326569
"23",28.6997289657593,10.3291759490967,29.0752990245819,35.054300069809,27.9622859954834,28.7441020011902,9.55806803703308,30.5370988845825,28.5889880657196,32.204488992691
"24",30.5164549350739,12.0291469097137,30.3827080726624,39.6186850070953,33.1100120544434,34.211480140686,10.986564874649,36.0978469848633,26.6960940361023,34.001216173172
"25",32.3914420604706,13.3393280506134,33.8799698352814,40.666218996048,15.6865890026093,38.0556008815765,13.179988861084,38.1724760532379,18.8016519546509,39.174663066864
"26",21.3779001235962,14.8949830532074,38.0359909534454,43.4822311401367,14.3993439674377,41.5715718269348,13.8496379852295,44.1257441043854,38.2386250495911,43.5755071640015
"27",16.5161089897156,16.5103969573975,42.5591149330139,45.7055609226227,15.8157818317413,48.0411591529846,16.7231838703156,48.1043679714203,50.8436307907104,48.3757638931274
"28",19.1541509628296,33.5980439186096,48.038015127182,33.0377988815308,18.0925180912018,52.964684009552,17.4164640903473,53.8778460025787,49.8234450817108,31.5222589969635
"29",19.5670680999756,1.06419851779938,56.7558369636536,25.6656188964844,55.698844909668,57.3277678489685,19.6433839797974,58.3002238273621,41.2148962020874,23.8754460811615
"30",22.7017638683319,1.21761230230331,31.925537109375,24.3427970409393,1.11001643339793,1.09430459737778,22.1632630825043,1.08798255125682,1.11638278563817,22.8193440437317
